pair,speech_file,noise_file,snr_in_db,snr_gtcrn_db,snr_nsnet2_db,jacc_noisy,jacc_gtcrn,jacc_nsnet2,prec_noisy,rec_noisy,prec_gtcrn,rec_gtcrn,prec_nsnet2,rec_nsnet2,pesq_noisy,pesq_gtcrn,pesq_nsnet2,n_frames
0,237-134493-0015.flac,4-108352-A-33.wav,10.0,-2.89,1.82,0.7475,0.625,0.4161,0.8222,0.8916,0.7558,0.7831,0.4621,0.8072,1.42,2.411,1.139,204
1,260-123286-0012.flac,3-124958-A-28.wav,10.0,-3.76,2.46,0.7826,0.619,0.3171,0.8571,0.9,0.9286,0.65,0.3824,0.65,2.167,3.196,1.167,75
2,6930-81414-0025.flac,2-122820-A-36.wav,10.0,-2.88,0.69,0.5893,0.7119,0.3103,0.9706,0.6,0.913,0.7636,0.8571,0.3273,1.229,1.483,1.088,79
3,7729-102255-0038.flac,1-30344-A-0.wav,10.0,-2.63,1.47,0.837,0.4786,0.3294,0.9277,0.8953,0.6437,0.6512,0.4,0.6512,1.959,2.507,1.251,247
4,7176-88083-0000.flac,2-75726-A-6.wav,10.0,-2.78,0.46,0.881,0.4828,0.2202,1.0,0.881,0.6364,0.6667,0.4898,0.2857,2.236,2.851,1.154,177
5,5142-33396-0059.flac,1-7973-A-7.wav,10.0,-2.86,1.49,0.8,0.6308,0.5435,0.8649,0.9143,0.7664,0.781,0.6944,0.7143,1.837,1.985,1.175,170
6,3575-170457-0012.flac,2-122104-B-0.wav,10.0,-2.85,2.53,0.8977,0.62,0.5581,0.9294,0.9634,0.775,0.7561,0.605,0.878,2.315,2.659,1.336,182
7,2830-3980-0066.flac,1-18755-A-4.wav,10.0,-2.78,1.17,0.7333,0.5253,0.5036,0.7778,0.9277,0.7647,0.6265,0.5556,0.8434,1.232,1.947,1.122,190
8,5142-33396-0018.flac,5-249748-A-28.wav,10.0,-3.03,1.57,0.7753,0.5,0.6667,0.92,0.8313,0.898,0.5301,0.8312,0.7711,1.972,2.485,1.234,123
9,7021-79740-0010.flac,4-107120-A-33.wav,10.0,-2.89,0.71,0.6406,0.4818,0.192,0.6613,0.9535,0.6883,0.6163,0.381,0.2791,1.353,2.656,1.069,312
10,4446-2273-0021.flac,2-50665-A-20.wav,10.0,-2.88,0.74,0.9646,0.8175,0.8168,0.982,0.982,0.8729,0.9279,0.8425,0.964,2.267,3.299,1.202,164
11,7176-88083-0027.flac,4-191687-A-0.wav,10.0,-3.26,0.46,0.75,0.3043,0.1053,0.9231,0.8,0.4667,0.4667,0.3333,0.1333,1.739,2.132,1.139,66
12,1284-1181-0020.flac,1-52323-A-24.wav,10.0,-2.87,1.89,0.6234,0.4096,0.3172,0.6761,0.8889,0.5397,0.6296,0.3358,0.8519,1.42,1.541,1.11,210
13,1320-122612-0004.flac,2-70367-A-33.wav,10.0,-3.43,0.82,0.4839,0.4789,0.2645,0.9375,0.5,0.7556,0.5667,0.3441,0.5333,1.213,1.919,1.066,200
14,7127-75947-0022.flac,5-171653-A-41.wav,10.0,-3.2,2.11,0.6504,0.3571,0.3565,0.8163,0.7619,0.6818,0.4286,0.4096,0.7333,1.797,1.979,1.303,312
15,4446-2275-0034.flac,3-124795-A-28.wav,10.0,-2.33,1.92,0.4912,0.5208,0.4265,0.6087,0.7179,0.7353,0.641,0.5,0.7436,1.516,1.945,1.135,96
16,908-157963-0030.flac,2-73260-A-10.wav,10.0,-3.14,2.2,0.2059,0.6429,0.0968,0.875,0.2121,0.75,0.8182,0.1714,0.1818,1.305,2.13,1.14,141
17,6829-68771-0000.flac,3-164216-B-6.wav,10.0,-2.83,2.53,0.8107,0.548,0.5451,0.9013,0.8896,0.8083,0.6299,0.5792,0.9026,1.871,2.462,1.205,312
18,3570-5696-0003.flac,4-212604-B-15.wav,10.0,-2.75,1.98,0.7115,0.5147,0.3214,0.75,0.9328,0.8046,0.5882,0.3785,0.6807,1.358,2.261,1.153,312
19,1320-122617-0001.flac,2-87412-A-24.wav,10.0,-2.97,0.45,0.8374,0.5103,0.2559,0.8879,0.9364,0.6789,0.6727,0.3484,0.4909,1.851,2.362,1.095,312
20,5142-33396-0058.flac,4-90014-B-42.wav,10.0,-3.09,0.84,0.6667,0.6622,0.0455,0.8333,0.7692,0.8448,0.7538,0.75,0.0462,1.372,2.317,1.064,100
21,7021-85628-0013.flac,5-210540-A-13.wav,10.0,-2.88,0.91,0.573,0.5672,0.1938,0.5965,0.9358,0.7525,0.6972,0.5556,0.2294,1.171,2.574,1.07,312
22,3729-6852-0002.flac,5-207811-B-35.wav,10.0,-2.81,2.02,0.6882,0.8216,0.639,0.8707,0.7665,0.8941,0.9102,0.7751,0.7844,1.603,2.421,1.284,274
23,7021-79740-0002.flac,2-76408-C-22.wav,10.0,-3.06,0.79,0.5294,0.5299,0.065,0.84,0.5888,0.7245,0.6636,0.3333,0.0748,1.108,1.915,1.061,288
24,5683-32879-0016.flac,3-164595-A-15.wav,10.0,-3.06,0.86,0.9447,0.8095,0.764,0.9895,0.9543,0.929,0.8629,0.7828,0.9695,3.284,3.516,1.266,312
25,61-70970-0022.flac,1-79113-A-5.wav,10.0,-3.03,0.56,0.9158,0.8384,0.2258,0.9667,0.9457,0.9222,0.9022,0.9545,0.2283,2.364,2.424,1.478,124
26,8555-284449-0012.flac,4-181708-A-32.wav,10.0,-2.96,1.21,0.55,0.4662,0.3846,0.6814,0.7404,0.6813,0.5962,0.4518,0.7212,1.145,1.958,1.078,308
27,4970-29093-0018.flac,2-141681-B-36.wav,10.0,-2.74,0.87,0.4824,0.6978,0.6239,0.8817,0.5157,0.8467,0.7987,0.6779,0.8868,1.328,2.151,1.09,303
28,672-122797-0006.flac,4-250869-B-2.wav,10.0,-2.76,1.43,0.5057,0.3664,0.2714,0.5269,0.9263,0.5714,0.5053,0.3418,0.5684,1.245,1.793,1.103,312
29,2094-142345-0038.flac,2-124564-A-15.wav,10.0,-2.52,2.01,0.7,0.5693,0.4309,0.7895,0.8607,0.8387,0.6393,0.4609,0.8689,1.427,1.723,1.138,312
